city,source_class,source_detail,prepared_count,mapped_group,release_sample_count,release_labels,explicit_mapping
sydney,Agribusiness,,14,Agriculture / Rural,0,,True
sydney,Forestry,,3,Agriculture / Rural,0,,True
sydney,Primary Production,,87,Agriculture / Rural,0,,True
sydney,Primary Production Small Lots,,96,Agriculture / Rural,0,,True
sydney,Rural Landscape,,87,Agriculture / Rural,0,,True
sydney,Rural Landscape, ,12,Agriculture / Rural,1,Agriculture / Rural,True
sydney,Special Activities,Pisciculture,1,Agriculture / Rural,1,Agriculture / Rural,True
sydney,Business Development,,16,Commercial,0,,True
sydney,Business Park,,14,Commercial,0,,True
sydney,Business Park,<Null>,1,Commercial,7,Commercial,True
sydney,Business Zone - Business Park,,1,Commercial,0,,True
sydney,Business Zone - Commercial Core,,4,Commercial,0,,True
sydney,Business Zone - Local Centre,,1,Commercial,0,,True
sydney,Commercial Centre,,101,Commercial,0,,True
sydney,Commercial Core,,1,Commercial,0,,True
sydney,Enterprise,,1,Commercial,14,Commercial,True
sydney,Enterprise,,62,Commercial,14,Commercial,True
sydney,Enterprise Corridor,,3,Commercial,0,,True
sydney,Local Centre,,1531,Commercial,0,,True
sydney,Local Centre, ,1,Commercial,0,,True
sydney,Metropolitan Centre,,10,Commercial,0,,True
sydney,Neighbourhood Centre,,16,Commercial,0,,True
sydney,Neighbourhood Centre, ,2,Commercial,0,,True
sydney,Productivity Support,,342,Commercial,0,,True
sydney,Special Activities,Innovation Precinct,2,Commercial,108,Commercial,True
sydney,Special Activities,Market,2,Commercial,7,Commercial,True
sydney,Special Activities,Sydney Fish Market,1,Commercial,1,Commercial,True
sydney,Special Activities,Sydney Wholesale and Retail Markets,1,Commercial,9,Commercial,True
sydney,Tourism,,2,Commercial,0,,True
sydney,Tourist,,18,Commercial,0,,True
sydney,Tourist,Tourism,1,Commercial,2,Commercial,True
sydney,Tourist,Tourist,1,Commercial,2,Commercial,True
sydney,Village,,24,Commercial,0,,True
sydney,Waterfront Use,,2,Commercial,0,,True
sydney,Environment,,5,Green / Recreation,0,,True
sydney,Environment and Recreation,,71,Green / Recreation,0,,True
sydney,Environmental Conservation,,1564,Green / Recreation,0,,True
sydney,Environmental Conservation, ,7,Green / Recreation,66,Green / Recreation,True
sydney,Environmental Conservation,<Null>,2,Green / Recreation,19,Green / Recreation,True
sydney,Environmental Conservation,Environmental,4,Green / Recreation,3,Green / Recreation,True
sydney,Environmental Management,,450,Green / Recreation,0,,True
sydney,Environmental Management, ,1,Green / Recreation,0,,True
sydney,National Parks and Nature Reserves,,207,Green / Recreation,0,,True
sydney,Open Space,,4,Green / Recreation,0,,True
sydney,Parkland,,2,Green / Recreation,0,,True
sydney,Private Recreation,,361,Green / Recreation,0,,True
sydney,Public Recreation,,8148,Green / Recreation,0,,True
sydney,Public Recreation, ,4,Green / Recreation,4,Green / Recreation,True
sydney,Public Recreation,<Null>,4,Green / Recreation,0,,True
sydney,Public Recreation,Open Space,12,Green / Recreation,19,Green / Recreation,True
sydney,Public Recreation - Regional,,6,Green / Recreation,0,,True
sydney,Public Recreation – Preferred Locations,,1,Green / Recreation,0,,True
sydney,Recreation Zone - Private Recreation,,1,Green / Recreation,0,,True
sydney,Recreation Zone - Public Recreation,,4,Green / Recreation,0,,True
sydney,Regional Open Space,,2,Green / Recreation,0,,True
sydney,Regional Park,,7,Green / Recreation,0,,True
sydney,Special Activities,Botanic Garden,2,Green / Recreation,33,Green / Recreation,True
sydney,Special Activities,"Ecotourism, Camping Ground & Function Centre",1,Green / Recreation,1,Green / Recreation,True
sydney,Special Activities,Environmental Facility,3,Green / Recreation,62,Green / Recreation,True
sydney,Special Activities,Luna Park,1,Green / Recreation,0,,True
sydney,Special Activities,Recreation Facility,1,Green / Recreation,11,Green / Recreation,True
sydney,Special Activities,Recreation Facility (Major),1,Green / Recreation,6,Green / Recreation,True
sydney,Special Activities,Recreation Facility (Outdoor),7,Green / Recreation,56,Green / Recreation,True
sydney,Special Activities,Zoological Gardens,2,Green / Recreation,3,Green / Recreation,True
sydney,Employment,,3,Industrial,0,,True
sydney,General Industrial,,379,Industrial,0,,True
sydney,General Industrial, ,1,Industrial,5,Industrial,True
sydney,General Industrial,<Null>,7,Industrial,29,Industrial,True
sydney,Heavy Industrial,,8,Industrial,0,,True
sydney,Infrastructure,Bus Depot,2,Industrial,0,,True
sydney,Infrastructure,Council Depot,3,Industrial,4,Industrial,True
sydney,Infrastructure,Depot,9,Industrial,6,Industrial,True
sydney,Infrastructure,Depots,2,Industrial,0,,True
sydney,Infrastructure,Maintenance Depot,4,Industrial,1,Industrial,True
sydney,Infrastructure,Quarry,1,Industrial,2,Industrial,True
sydney,Infrastructure,Sydney Water Depot,1,Industrial,1,Industrial,True
sydney,Light Industrial,,14,Industrial,0,,True
sydney,Light Industrial,<Null>,3,Industrial,10,Industrial,True
sydney,Port and Employment,,6,Industrial,0,,True
sydney,Special Activities,Bus Depot,1,Industrial,0,,True
sydney,Special Activities,Quarry,1,Industrial,13,Industrial,True
sydney,Working Waterfront,,25,Industrial,0,,True
sydney,Infrastructure,Cemetery,32,Institutional / Civic,27,Institutional / Civic,True
sydney,Infrastructure,"Cemetery, Church, Seniors Housing",1,Institutional / Civic,2,Institutional / Civic,True
sydney,Infrastructure,Child Care Centre,1,Institutional / Civic,0,,True
