task,metric,model,model_label,spatial_score,random_score,score_delta_random_minus_spatial,abs_delta
population,R2,space2vec,Space2Vec,0.24058031260735505,0.9568826880249617,0.7163023754176067,0.7163023754176067
lst_day_mean,R2,urban2vec,Urban2Vec,0.0,0.709702397933041,0.709702397933041,0.709702397933041
landuse,F1_macro,space2vec,Space2Vec,0.24802478937102,0.92503865683519,0.67701386746417,0.67701386746417
landuse,F1_macro,calliper,CaLLiPer,0.3438577452372511,1.0,0.6561422547627489,0.6561422547627489
population,R2,calliper,CaLLiPer,0.36864109632047,1.0,0.63135890367953,0.63135890367953
age_distribution,KL,aether,AETHER,1.0,0.49598817030161735,-0.5040118296983827,0.5040118296983827
nightlight,R2,calliper,CaLLiPer,0.5017152475971873,1.0,0.49828475240281267,0.49828475240281267
lst_day_mean,R2,space2vec,Space2Vec,0.4914166059849359,0.9826405360723351,0.49122393008739923,0.49122393008739923
road_density,R2,space2vec,Space2Vec,0.08164751995552592,0.5503980332940633,0.4687505133385374,0.4687505133385374
road_density,R2,calliper,CaLLiPer,0.15901761933123948,0.5989653143850949,0.43994769505385545,0.43994769505385545
lst_day_mean,R2,place2vec,Place2Vec,0.0022534625222737515,0.4281016154547191,0.4258481529324453,0.4258481529324453
landuse,F1_macro,urban2vec,Urban2Vec,0.15153358214632415,0.5649700355980278,0.41343645345170366,0.41343645345170366
age_distribution,KL,urban2vec,Urban2Vec,0.2437070596954274,0.6431009161700305,0.3993938564746031,0.3993938564746031
age_distribution,KL,space2vec,Space2Vec,0.5440409840827474,0.9426891191351191,0.39864813505237173,0.39864813505237173
pm25,R2,space2vec,Space2Vec,0.3811504049281107,0.7738167318154974,0.3926663268873867,0.3926663268873867
nightlight,R2,urban2vec,Urban2Vec,0.42307015629670847,0.8086827851235379,0.3856126288268294,0.3856126288268294
nightlight,R2,space2vec,Space2Vec,0.39853305309120945,0.7708227306843882,0.37228967759317877,0.37228967759317877
age_distribution,KL,alphaearth,AlphaEarth,0.739593620754043,0.36790371915171666,-0.37168990160232634,0.37168990160232634
lst_day_mean,R2,alphaearth,AlphaEarth,1.0,0.638130945318305,-0.36186905468169495,0.36186905468169495
age_distribution,KL,satclip,SatCLIP,0.34006427163249914,0.0,-0.34006427163249914,0.34006427163249914
lst_day_mean,R2,cityfm,CityFM,0.9641148121233356,0.6335070298862824,-0.3306077822370532,0.3306077822370532
lst_day_mean,R2,aether,AETHER,0.9755073086442422,0.6470576916601896,-0.3284496169840526,0.3284496169840526
age_distribution,KL,tessera,TESSERA,0.6678964982837242,0.34139461200256055,-0.32650188628116367,0.32650188628116367
nightlight,R2,cityfm,CityFM,0.5095667167223227,0.8309831157694311,0.3214163990471084,0.3214163990471084
pm25,R2,calliper,CaLLiPer,0.5529860666932163,0.8704511840299495,0.3174651173367332,0.3174651173367332
pm25,R2,satclip,SatCLIP,0.0,0.30380288470759376,0.30380288470759376,0.30380288470759376
age_distribution,KL,sphere2vec_fixed,PE,0.7067822066716307,0.422435750628647,-0.2843464560429837,0.2843464560429837
landuse,F1_macro,cityfm,CityFM,0.24326940586205437,0.5160772376325814,0.27280783177052703,0.27280783177052703
lst_day_mean,R2,tessera,TESSERA,0.8818739364597866,0.6288300331784564,-0.2530439032813302,0.2530439032813302
pm25,R2,cityfm,CityFM,0.5904279504432786,0.8381395682505358,0.24771161780725726,0.24771161780725726
