task,metric,model,model_label,spatial_rank,random_rank,rank_delta_random_minus_spatial,abs_delta
age_distribution,KL,urban2vec,Urban2Vec,8.75,3.5,-5.25,5.25
road_density,R2,muse,MuseCL,4.75,9.75,5.0,5.0
lst_day_mean,R2,space2vec,Space2Vec,6.875,2.0,-4.875,4.875
road_density,R2,space2vec,Space2Vec,9.875,5.0,-4.875,4.875
population,R2,space2vec,Space2Vec,7.75,3.0,-4.75,4.75
lst_day_mean,R2,urban2vec,Urban2Vec,9.5,4.875,-4.625,4.625
nightlight,R2,calliper,CaLLiPer,5.5,1.125,-4.375,4.375
population,R2,calliper,CaLLiPer,6.0,1.625,-4.375,4.375
population,R2,muse,MuseCL,5.5,9.75,4.25,4.25
age_distribution,KL,space2vec,Space2Vec,5.5,2.0,-3.5,3.5
road_density,R2,calliper,CaLLiPer,7.5,4.0,-3.5,3.5
lst_day_mean,R2,alphaearth,AlphaEarth,2.625,6.125,3.5,3.5
lst_day_mean,R2,aether,AETHER,2.875,5.875,3.0,3.0
lst_day_mean,R2,calliper,CaLLiPer,4.0,1.0,-3.0,3.0
age_distribution,KL,aether,AETHER,2.25,5.25,3.0,3.0
nightlight,R2,aether,AETHER,3.125,6.125,3.0,3.0
landuse,F1_macro,space2vec,Space2Vec,6.875,3.875,-3.0,3.0
landuse,F1_macro,calliper,CaLLiPer,5.5,2.75,-2.75,2.75
age_distribution,KL,alphaearth,AlphaEarth,5.25,8.0,2.75,2.75
landuse,F1_macro,urban2vec,Urban2Vec,8.375,5.625,-2.75,2.75
landuse,F1_macro,muse,MuseCL,7.5,10.125,2.625,2.625
lst_day_mean,R2,tessera,TESSERA,4.0,6.625,2.625,2.625
age_distribution,KL,satclip,SatCLIP,8.0,10.5,2.5,2.5
lst_day_mean,R2,cityfm,CityFM,3.5,6.0,2.5,2.5
landuse,F1_macro,aether,AETHER,1.625,4.0,2.375,2.375
age_distribution,KL,cityfm,CityFM,5.75,3.5,-2.25,2.25
age_distribution,KL,tessera,TESSERA,5.75,8.0,2.25,2.25
nightlight,R2,urban2vec,Urban2Vec,7.125,4.875,-2.25,2.25
gdp,R2,calliper,CaLLiPer,6.75,4.625,-2.125,2.125
road_density,R2,place2vec,Place2Vec,6.0,8.125,2.125,2.125
