model,model_label,spatial_mean_rank,spatial_median_rank,spatial_best_rank,spatial_worst_rank,spatial_tasks_scored,spatial_coverage_ratio,random_mean_rank,random_median_rank,random_best_rank,random_worst_rank,random_tasks_scored,random_coverage_ratio,mean_rank_delta_random_minus_spatial,abs_mean_rank_delta
aether,AETHER,1.75,1.5,1,3,8,1.0,3.625,4.0,1,7,8,1.0,1.875,1.875
alphaearth,AlphaEarth,2.125,2.0,1,4,8,1.0,4.25,3.5,2,7,8,1.0,2.125,2.125
tessera,TESSERA,3.125,3.0,1,6,8,1.0,4.25,4.0,1,8,8,1.0,1.125,1.125
satclip,SatCLIP,10.375,11.0,8,11,8,1.0,10.5,11.0,8,11,8,1.0,0.125,0.125
muse,MuseCL,7.125,7.0,4,11,8,1.0,9.75,10.0,8,11,8,1.0,2.625,2.625
urban2vec,Urban2Vec,7.875,8.0,4,11,8,1.0,5.625,6.0,3,9,8,1.0,-2.25,2.25
cityfm,CityFM,6.125,6.5,3,9,8,1.0,5.25,5.5,3,7,8,1.0,-0.875,0.875
calliper,CaLLiPer,4.75,4.5,2,8,8,1.0,2.0,1.0,1,4,8,1.0,-2.75,2.75
space2vec,Space2Vec,7.5,7.5,5,10,8,1.0,4.375,4.5,2,7,8,1.0,-3.125,3.125
place2vec,Place2Vec,7.375,8.0,5,10,8,1.0,8.875,9.0,8,10,8,1.0,1.5,1.5
sphere2vec_fixed,PE,7.25,8.5,2,10,8,1.0,7.0,9.0,2,9,8,1.0,-0.25,0.25
