task,metric,model,model_label,spatial_score,random_score,score_delta_random_minus_spatial
landuse,F1_macro,aether,AETHER,0.9883759191423189,0.8519022083520958,-0.13647371079022308
landuse,F1_macro,alphaearth,AlphaEarth,1.0,0.9115982718711453,-0.08840172812885472
landuse,F1_macro,tessera,TESSERA,0.897385384760054,0.9343363426323773,0.036950957872323276
landuse,F1_macro,satclip,SatCLIP,0.0,0.0,0.0
landuse,F1_macro,muse,MuseCL,0.1912592216410018,0.1712854033677462,-0.01997381827325559
landuse,F1_macro,urban2vec,Urban2Vec,0.15153358214632415,0.5649700355980278,0.41343645345170366
landuse,F1_macro,cityfm,CityFM,0.24326940586205437,0.5160772376325814,0.27280783177052703
landuse,F1_macro,calliper,CaLLiPer,0.3438577452372511,1.0,0.6561422547627489
landuse,F1_macro,space2vec,Space2Vec,0.24802478937102,0.92503865683519,0.67701386746417
landuse,F1_macro,place2vec,Place2Vec,0.25402565683518585,0.42756192151418393,0.17353626467899808
landuse,F1_macro,sphere2vec_fixed,PE,0.1746928448101129,0.3891897899691049,0.214496945158992
road_density,R2,aether,AETHER,0.8837551920238798,0.921824519521493,0.03806932749761327
road_density,R2,alphaearth,AlphaEarth,0.9459839840249197,0.9512474284677125,0.005263444442792808
road_density,R2,tessera,TESSERA,1.0,1.0,0.0
road_density,R2,satclip,SatCLIP,0.0,0.0,0.0
road_density,R2,muse,MuseCL,0.30788237382159206,0.16027396812924238,-0.14760840569234968
road_density,R2,urban2vec,Urban2Vec,0.2780161376195689,0.32601008578664176,0.047993948167072864
road_density,R2,cityfm,CityFM,0.20599899297752367,0.30210711781675026,0.0961081248392266
road_density,R2,calliper,CaLLiPer,0.15901761933123948,0.5989653143850949,0.43994769505385545
road_density,R2,space2vec,Space2Vec,0.08164751995552592,0.5503980332940633,0.4687505133385374
road_density,R2,place2vec,Place2Vec,0.25980037137989825,0.25639673491993503,-0.003403636459963222
road_density,R2,sphere2vec_fixed,PE,0.12931202402951103,0.19491833795449767,0.06560631392498664
population,R2,aether,AETHER,0.9990169426697894,0.9358892410065476,-0.06312770166324178
population,R2,alphaearth,AlphaEarth,1.0,0.8918546599185783,-0.10814534008142174
