task,metric,higher_is_better,model,model_label,spatial_mean,spatial_rank,random_mean,random_rank,task_title,raw_delta_random_minus_spatial
landuse,F1_macro,True,aether,AETHER,0.3433090266861138,1.625,0.495965265151813,4.0,LUC,0.1526562384656992
landuse,F1_macro,True,alphaearth,AlphaEarth,0.3460894207809347,1.75,0.5197447891015428,2.875,LUC,0.17365536832060807
landuse,F1_macro,True,tessera,TESSERA,0.3215447644120886,2.75,0.5288023461055289,3.0,LUC,0.20725758169344027
landuse,F1_macro,True,satclip,SatCLIP,0.1068968232016058,10.75,0.1566157708610885,10.875,LUC,0.04971894765948269
landuse,F1_macro,True,muse,MuseCL,0.1526446132369176,7.5,0.2248461551028016,10.125,LUC,0.07220154186588398
landuse,F1_macro,True,urban2vec,Urban2Vec,0.1431425343356857,8.375,0.3816677709497694,5.625,LUC,0.2385252366140837
landuse,F1_macro,True,cityfm,CityFM,0.1650850643013306,7.0,0.3621916549104325,6.625,LUC,0.19710659060910188
landuse,F1_macro,True,calliper,CaLLiPer,0.189145050482675,5.5,0.5549590207831141,2.75,LUC,0.3658139703004391
landuse,F1_macro,True,space2vec,Space2Vec,0.166222516835326,6.875,0.5250986757283235,3.875,LUC,0.3588761588929975
landuse,F1_macro,True,place2vec,Place2Vec,0.1676578799118091,6.375,0.3269321762199546,7.875,LUC,0.15927429630814546
landuse,F1_macro,True,sphere2vec_fixed,PE,0.1486820585302593,7.5,0.3116468966338523,8.375,LUC,0.16296483810359302
road_density,R2,True,aether,AETHER,0.565861602127552,2.875,0.6392196297645568,2.75,RDE,0.07335802763700483
road_density,R2,True,alphaearth,AlphaEarth,0.6006402269005776,2.125,0.6540952622890472,2.0,RDE,0.05345503538846963
road_density,R2,True,tessera,TESSERA,0.6308288693428039,1.0,0.6787435844540596,1.25,RDE,0.04791471511125567
road_density,R2,True,satclip,SatCLIP,0.0719456955790519,10.625,0.1731636449694633,11.0,RDE,0.1012179493904114
road_density,R2,True,muse,MuseCL,0.2440159738063812,4.75,0.2541949480772018,9.75,RDE,0.010178974270820568
road_density,R2,True,urban2vec,Urban2Vec,0.2273242369294166,5.375,0.3379878044128417,6.125,RDE,0.1106635674834251
road_density,R2,True,cityfm,CityFM,0.1870750665664672,7.25,0.3259029433131217,6.875,RDE,0.1388278767466545
road_density,R2,True,calliper,CaLLiPer,0.1608179673552512,7.5,0.4759884923696518,4.0,RDE,0.31517052501440057
road_density,R2,True,space2vec,Space2Vec,0.1175771206617355,9.875,0.4514338493347167,5.0,RDE,0.3338567286729812
road_density,R2,True,place2vec,Place2Vec,0.2171437516808509,6.0,0.3027926906943321,8.125,RDE,0.08564893901348122
road_density,R2,True,sphere2vec_fixed,PE,0.1442160099744796,8.625,0.2717104464769363,9.125,RDE,0.12749443650245673
population,R2,True,aether,AETHER,0.6942109286785125,1.75,0.7868179216980935,2.625,POP,0.09260699301958097
population,R2,True,alphaearth,AlphaEarth,0.694828599691391,1.5,0.7619090124964714,3.25,POP,0.06708041280508037
population,R2,True,tessera,TESSERA,0.6745970159769059,2.75,0.7429752960801125,4.5,POP,0.06837828010320657
population,R2,True,satclip,SatCLIP,0.0665122300386428,10.625,0.2574162662029265,10.875,POP,0.1909040361642837
population,R2,True,muse,MuseCL,0.3061861440539359,5.5,0.3937411561608314,9.75,POP,0.08755501210689548
population,R2,True,urban2vec,Urban2Vec,0.2784956783056259,6.75,0.5509557306766509,6.125,POP,0.27246005237102505
population,R2,True,cityfm,CityFM,0.2281969591975212,8.25,0.5366762280464172,6.875,POP,0.30847926884889604
population,R2,True,calliper,CaLLiPer,0.2981354653835296,6.0,0.8230832621455193,1.625,POP,0.5249477967619898
population,R2,True,space2vec,Space2Vec,0.2176727786660194,7.75,0.7986932218074798,3.0,POP,0.5810204431414604
population,R2,True,place2vec,Place2Vec,0.2884371981024742,6.5,0.4824506700038909,8.375,POP,0.1940134719014167
population,R2,True,sphere2vec_fixed,PE,0.1755265817046165,8.625,0.4338227793574333,9.0,POP,0.2582961976528168
age_distribution,KL,False,aether,AETHER,0.0369700834291335,2.25,0.0217093445450792,5.25,AGE*,-0.015260738884054301
age_distribution,KL,False,alphaearth,AlphaEarth,0.0394406624443257,5.25,0.0251367974100945,8.0,AGE*,-0.014303865034231204
age_distribution,KL,False,tessera,TESSERA,0.0401208815953993,5.75,0.0258461631014932,8.0,AGE*,-0.014274718493906102
age_distribution,KL,False,satclip,SatCLIP,0.0432311564742772,8.0,0.0349816509027373,10.5,AGE*,-0.008249505571539903
age_distribution,KL,False,muse,MuseCL,0.0464574816347616,10.75,0.0336228182693587,9.75,AGE*,-0.012834663365402899
age_distribution,KL,False,urban2vec,Urban2Vec,0.0441453357139083,8.75,0.0177727074452578,3.5,AGE*,-0.0263726282686505
