task,metric,model,model_label,spatial_rank,random_rank,rank_delta_random_minus_spatial
landuse,F1_macro,aether,AETHER,1.625,4.0,2.375
landuse,F1_macro,alphaearth,AlphaEarth,1.75,2.875,1.125
landuse,F1_macro,tessera,TESSERA,2.75,3.0,0.25
landuse,F1_macro,satclip,SatCLIP,10.75,10.875,0.125
landuse,F1_macro,muse,MuseCL,7.5,10.125,2.625
landuse,F1_macro,urban2vec,Urban2Vec,8.375,5.625,-2.75
landuse,F1_macro,cityfm,CityFM,7.0,6.625,-0.375
landuse,F1_macro,calliper,CaLLiPer,5.5,2.75,-2.75
landuse,F1_macro,space2vec,Space2Vec,6.875,3.875,-3.0
landuse,F1_macro,place2vec,Place2Vec,6.375,7.875,1.5
landuse,F1_macro,sphere2vec_fixed,PE,7.5,8.375,0.875
road_density,R2,aether,AETHER,2.875,2.75,-0.125
road_density,R2,alphaearth,AlphaEarth,2.125,2.0,-0.125
road_density,R2,tessera,TESSERA,1.0,1.25,0.25
road_density,R2,satclip,SatCLIP,10.625,11.0,0.375
road_density,R2,muse,MuseCL,4.75,9.75,5.0
road_density,R2,urban2vec,Urban2Vec,5.375,6.125,0.75
road_density,R2,cityfm,CityFM,7.25,6.875,-0.375
road_density,R2,calliper,CaLLiPer,7.5,4.0,-3.5
road_density,R2,space2vec,Space2Vec,9.875,5.0,-4.875
road_density,R2,place2vec,Place2Vec,6.0,8.125,2.125
road_density,R2,sphere2vec_fixed,PE,8.625,9.125,0.5
population,R2,aether,AETHER,1.75,2.625,0.875
population,R2,alphaearth,AlphaEarth,1.5,3.25,1.75
population,R2,tessera,TESSERA,2.75,4.5,1.75
population,R2,satclip,SatCLIP,10.625,10.875,0.25
population,R2,muse,MuseCL,5.5,9.75,4.25
population,R2,urban2vec,Urban2Vec,6.75,6.125,-0.625
population,R2,cityfm,CityFM,8.25,6.875,-1.375
population,R2,calliper,CaLLiPer,6.0,1.625,-4.375
population,R2,space2vec,Space2Vec,7.75,3.0,-4.75
population,R2,place2vec,Place2Vec,6.5,8.375,1.875
population,R2,sphere2vec_fixed,PE,8.625,9.0,0.375
age_distribution,KL,aether,AETHER,2.25,5.25,3.0
age_distribution,KL,alphaearth,AlphaEarth,5.25,8.0,2.75
age_distribution,KL,tessera,TESSERA,5.75,8.0,2.25
age_distribution,KL,satclip,SatCLIP,8.0,10.5,2.5
age_distribution,KL,muse,MuseCL,10.75,9.75,-1.0
age_distribution,KL,urban2vec,Urban2Vec,8.75,3.5,-5.25
age_distribution,KL,cityfm,CityFM,5.75,3.5,-2.25
age_distribution,KL,calliper,CaLLiPer,2.5,1.0,-1.5
age_distribution,KL,space2vec,Space2Vec,5.5,2.0,-3.5
age_distribution,KL,place2vec,Place2Vec,6.5,8.25,1.75
age_distribution,KL,sphere2vec_fixed,PE,5.0,6.25,1.25
gdp,R2,aether,AETHER,1.125,1.125,0.0
gdp,R2,alphaearth,AlphaEarth,2.25,2.625,0.375
gdp,R2,tessera,TESSERA,3.0,2.25,-0.75
gdp,R2,satclip,SatCLIP,10.75,11.0,0.25
gdp,R2,muse,MuseCL,5.625,7.125,1.5
gdp,R2,urban2vec,Urban2Vec,5.0,6.5,1.5
gdp,R2,cityfm,CityFM,7.25,6.25,-1.0
gdp,R2,calliper,CaLLiPer,6.75,4.625,-2.125
gdp,R2,space2vec,Space2Vec,8.0,7.0,-1.0
gdp,R2,place2vec,Place2Vec,7.875,9.125,1.25
gdp,R2,sphere2vec_fixed,PE,8.375,8.375,0.0
nightlight,R2,aether,AETHER,3.125,6.125,3.0
nightlight,R2,alphaearth,AlphaEarth,1.125,2.375,1.25
nightlight,R2,tessera,TESSERA,2.25,4.0,1.75
nightlight,R2,satclip,SatCLIP,10.75,11.0,0.25
nightlight,R2,muse,MuseCL,6.75,8.0,1.25
nightlight,R2,urban2vec,Urban2Vec,7.125,4.875,-2.25
nightlight,R2,cityfm,CityFM,5.875,4.375,-1.5
nightlight,R2,calliper,CaLLiPer,5.5,1.125,-4.375
nightlight,R2,space2vec,Space2Vec,7.625,5.625,-2.0
nightlight,R2,place2vec,Place2Vec,7.625,9.5,1.875
nightlight,R2,sphere2vec_fixed,PE,8.25,9.0,0.75
pm25,R2,aether,AETHER,1.75,1.75,0.0
pm25,R2,alphaearth,AlphaEarth,4.375,5.75,1.375
pm25,R2,tessera,TESSERA,3.625,4.875,1.25
